,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
189,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2021-12-30,5.0,need one bad right,drinking one taking naproxen sodium seems make medicine work faster also use beverage energy boost day avoid evening disrupt sleep overnight job would use stay awake,need one bad right drinking one taking naproxen sodium seems make medicine work faster also use beverage energy boost day avoid evening disrupt sleep overnight job would use stay awake,1,,,,,,
188,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-01-03,5.0,best energy drink,favorite,best energy drink favorite,1,,,,,,
187,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-03-11,5.0,popular daughter friend,cal coffee alternative fir daughter friend get together gone loved,popular daughter friend cal coffee alternative fir daughter friend get together gone loved,1,,,,,,
186,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-03-19,5.0,quick boost,needs review know stuff give good ol boost energy,quick boost needs review know stuff give good ol boost energy,1,,,,,,
185,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-03-26,5.0,gives higher energy level hour,taste sweet probably aspartame good health check research paper give energy actually boost last hour calorie count also le overall good recommend consume long period time oz every day try skip sometimes make body dependent god bless,gives higher energy level hour taste sweet probably aspartame good health check research paper give energy actually boost last hour calorie count also le overall good recommend consume long period time oz every day try skip sometimes make body dependent god bless,1,0.9643,,,,,
184,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-04-08,2.0,okay energy drink,really enjoy drink sacrifice taste sugar taste honest flavor original redbull beaten said job keep energized guess,okay energy drink really enjoy drink sacrifice taste sugar taste honest flavor original redbull beaten said job keep energized guess,0,0.9117,0.9117,,,,
183,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-04-09,3.0,shipping correctly,red bull fine ordered twice time case damaged getting packaged well enough,shipping correctly red bull fine ordered twice time case damaged getting packaged well enough,0,,,,0.0,,
182,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-04-28,5.0,love,excellent flavor definitely pick,love excellent flavor definitely pick,1,,0.891,,,,
181,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-06-15,5.0,redbull professional,drinking red bull ever nothing like crisp taste morning also hard stomach carbonation help belly ache caffeine hard bean level def pick uper without sugar tangy,redbull professional drinking red bull ever nothing like crisp taste morning also hard stomach carbonation help belly ache caffeine hard bean level def pick uper without sugar tangy,1,-0.4234,,,,,
180,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-06-21,4.0,slurp,good stuff,slurp good stuff,1,,,,,,
179,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-06-29,5.0,vodka bff,wagon draggin swirl vodka better bathroom bump,vodka bff wagon draggin swirl vodka better bathroom bump,1,,,,,,
178,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-08,1.0,flat,thought getting good deal red bull received quickly good condition however opened one completely flat flavor bottom can date september know expiration date never tasted red bull like next time probably buy store rather online,flat thought getting good deal red bull received quickly good condition however opened one completely flat flavor bottom can date september know expiration date never tasted red bull like next time probably buy store rather online,0,0.8074,0.8074,,,,
177,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-15,1.0,terrible aftertaste,good waste money used money monster ultra zero,terrible aftertaste good waste money used money monster ultra zero,0,-0.4588,,,,,
176,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-16,5.0,better coffee,better coffee put great mood,better coffee better coffee put great mood,1,,,,,,
175,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-17,5.0,redbull give wing,handy pack convenient get red bull dropped door,redbull give wing handy pack convenient get red bull dropped door,1,,,,,,
174,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-18,5.0,bar prep treat,need studying,bar prep treat need studying,1,,,,,,
173,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-21,5.0,great service,flavor great cheaper anwhyelse,great service flavor great cheaper anwhyelse,1,,0.8481,,,,
172,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-21,5.0,redbull,redbull always good,redbull redbull always good,1,,,,,,
171,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-07-26,5.0,great,husband like em,great husband like em,1,,,,,,
170,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-08-19,5.0,good stuff,redbull say favorite,good stuff redbull say favorite,1,,,,,,
169,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-08-30,5.0,good buy,price right took opportunity buy drink especially workout,good buy price right took opportunity buy drink especially workout,1,,,0.6908,,,
168,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-09-03,5.0,good high caffeine,like product,good high caffeine like product,1,,,,,,
167,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-09-10,5.0,sugar free red bull,ferry first time saw ca get around must say tasty,sugar free red bull ferry first time saw ca get around must say tasty,1,,,,,,
166,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-09-11,3.0,never fan,never cared red bull care taste high price per ounce consumed many time give energy first choice second choice would last choice stuck little boon dock town sold red bull would buy,never fan never cared red bull care taste high price per ounce consumed many time give energy first choice second choice would last choice stuck little boon dock town sold red bull would buy,0,0.5145,,0.5145,,,
165,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-09-19,5.0,best energy drink,best energy drink,best energy drink best energy drink,1,,,,,,
164,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-10-08,4.0,theyre okay,never redbull saw drink put like strawberry blue raspberry syrup mean good nothing super special wish werent dollar four,theyre okay never redbull saw drink put like strawberry blue raspberry syrup mean good nothing super special wish werent dollar four,1,,,,,,
163,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-10-13,5.0,expect,like sugar free red bull like buy cheaper get store,expect like sugar free red bull like buy cheaper get store,1,,,,,,
162,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-10-31,1.0,second time month amazon sent expired,really say review product star love redbull love wing however sending expired product need stop expired redbull taste like utter crap n second time month little expired year ago expired wtf amazon,second time month amazon sent expired really say review product star love redbull love wing however sending expired product need stop expired redbull taste like utter crap n second time month little expired year ago expired wtf amazon,0,0.6908,,,,,
161,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-11-03,5.0,always good,product always good think building immunity effect anymore still good product,always good product always good think building immunity effect anymore still good product,1,,,,,,
160,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-11-08,3.0,pricey,price high got daughter get cheaper pharmacy,pricey price high got daughter get cheaper pharmacy,0,,,0.0,,,
159,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-11-13,3.0,ordered received,empty wet leaking box,ordered received empty wet leaking box,0,,,,,,
158,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-11-21,5.0,energy,need big,energy need big,1,,,,,,
157,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-12-02,5.0,described,recommend store,described recommend store,1,,,,,,
399,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-04,5.0,always good,tastes great,always good tastes great,1,0.7906,,,,,
156,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-12-04,5.0,live without,run sad try coke zero ice tea still sleepy lazy tired sugar tummy amazing wake ingredients get wrong love original red bull anymore need cut much sugar look sugar free red bull,live without run sad try coke zero ice tea still sleepy lazy tired sugar tummy amazing wake ingredients get wrong love original red bull anymore need cut much sugar look sugar free red bull,1,,,,,,
398,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-05,1.0,product damaged,cases busted drink spilled shipping box,product damaged cases busted drink spilled shipping box,0,,,,,,
397,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-07,5.0,great product,fast shipping great value money,great product fast shipping great value money,1,,,,,0.891,0.891
396,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-08,1.0,box broken one exploded,whole box broken exploded,box broken one exploded whole box broken exploded,0,,,,,,
395,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-08,5.0,yummy job,every flavor good matter one get blueberry fig apple favorite,yummy job every flavor good matter one get blueberry fig apple favorite,1,,0.8555,,,,
394,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-10,5.0,taste great,taste great complaint arrived redbull package box inside amazon box damaged would buy,taste great taste great complaint arrived redbull package box inside amazon box damaged would buy,1,0.7003,,,0.7003,,
393,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-14,5.0,best deal,found deal better,best deal found deal better,1,,,,,,
155,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-12-15,5.0,yes,replaced coffee,yes replaced coffee,1,,,,,,
392,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-20,5.0,red bull lover life,absolutely love drink energy drink compare die hard red bull lover,red bull lover life absolutely love drink energy drink compare die hard red bull lover,1,,,,,,
154,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-12-21,5.0,health,like everything,health like everything,1,,,,,,
391,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-23,4.0,packaging special pack tasted better bulkier selection,favorite moment drinking red bull remembering scene movie yes man,packaging special pack tasted better bulkier selection favorite moment drinking red bull remembering scene movie yes man,1,0.8834,,,,,
390,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-28,5.0,red bull,excellent price saved trip store win,red bull excellent price saved trip store win,1,,,0.8834,,,
389,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-29,5.0,red bull,drink really good pricey though,red bull drink really good pricey though,1,,,0.4927,,,
153,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2022-12-30,5.0,love red bull,red bull always awesome taste great,love red bull red bull always awesome taste great,1,0.9246,,,,,
388,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2022-12-30,5.0,great vaule,love item pricing,great vaule love item pricing,1,,,,,,
152,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-01-06,5.0,great pick,product perfect work summer camp working kid hour throughout day kept going needed little pick sun day,great pick product perfect work summer camp working kid hour throughout day kept going needed little pick sun day,1,,,,,,
151,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-01-07,2.0,damaged,five twelve can damaged,damaged five twelve can damaged,0,,,,,,
150,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-01-08,5.0,love,good love,love good love,1,,,,,,
149,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-01-11,5.0,yum,give energy,yum give energy,1,,,,,,
387,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-11,5.0,work great,gives wing get thing done,work great gives wing get thing done,1,,,,,,
386,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-12,5.0,yummo,nice pack redbull used christmas gift work customized sticker coworker novelty,yummo nice pack redbull used christmas gift work customized sticker coworker novelty,1,,,,,,
385,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-13,4.0,redbull pack,favorite flavor redbull great price always shipped securely,redbull pack favorite flavor redbull great price always shipped securely,1,,0.8591,0.8591,,,
383,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-13,5.0,red bull,love stuff,red bull love stuff,1,,,,,,
384,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-13,5.0,yummy,yummy,yummy yummy,1,,,,,,
382,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-14,5.0,great flavor,love redbull,great flavor love redbull,1,,0.8519,,,,
148,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-01-17,5.0,red bull else say,sugarfree red bull like go ahead buy real red bull,red bull else say sugarfree red bull like go ahead buy real red bull,1,,,,,,
381,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-21,5.0,gives wing,real drank one able clean despite back hurting gave extra push needed crash burn worth continue buy,gives wing real drank one able clean despite back hurting gave extra push needed crash burn worth continue buy,1,,,,,,
380,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-23,4.0,good product,ordered pack got pack,good product ordered pack got pack,1,,,,,,
379,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-25,5.0,favorite drink,go wrong drink best far give ton energy,favorite drink go wrong drink best far give ton energy,1,,,,,,
378,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-01-30,5.0,great,go,great go,1,,,,,,
147,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-02-03,5.0,redbull,package little dented product fine,redbull package little dented product fine,1,,,,0.1372,,
377,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-02-04,5.0,perfect easy delivery,product delivered intact perfect issue,perfect easy delivery product delivered intact perfect issue,1,,,,,,
376,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-02-10,5.0,gift able good drink,store driving watch price,gift able good drink store driving watch price,1,,,0.7003,,,
146,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-02-16,5.0,flavor cost,great cost much amazon fault,flavor cost great cost much amazon fault,1,,0.4767,,,,
145,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-02-18,5.0,sugar free wing,good product helps focus work school sugar free bonus,sugar free wing good product helps focus work school sugar free bonus,1,,,,,,
144,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-02-20,5.0,price good,work taste good,price good work taste good,1,0.7003,,0.7003,,,
375,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-02-20,5.0,good deal,buy everyday worth,good deal buy everyday worth,1,,,,,,
374,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-02-21,5.0,energy,red bull pretty good tasting energy drink year seems like red bull give energy probably might,energy red bull pretty good tasting energy drink year seems like red bull give energy probably might,1,,,,,,
143,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-02-22,5.0,limited,product claim give wing growth yet give energy better regular version,limited product claim give wing growth yet give energy better regular version,1,,,,,,
499,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-02-24,5.0,great price,husband love watermelon red bull hard find grocery store case saved u ton money,great price husband love watermelon red bull hard find grocery store case saved u ton money,1,,,0.8934,,,
498,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-02-25,5.0,jolly rancher,jolly rancher flavor taste like real watermelon ca go red bull always grab different flavor huge watermelon person right thr flavor,jolly rancher jolly rancher flavor taste like real watermelon ca go red bull always grab different flavor huge watermelon person right thr flavor,1,0.886,0.886,,,,
142,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-02-25,3.0,price,price high,price price high,0,,,0.0,,,
141,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-03-01,5.0,sugar free red bull best,love sugar free red bull,sugar free red bull best love sugar free red bull,1,,,,,,
140,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-03-02,5.0,staple,love taste great every however one time get one pack flat fizzed almost completely carbonation machine needed replacement something gross without fizz whole pack went bye bye waste happy happened good,staple love taste great every however one time get one pack flat fizzed almost completely carbonation machine needed replacement something gross without fizz whole pack went bye bye waste happy happened good,1,0.875,,,,,
373,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-03,5.0,great tasting,energy,great tasting energy,1,,,,,,
372,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-05,1.0,wow,,wow ,0,,,,,,
497,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-05,5.0,awesome taste fantastic company price,delivery perfect thanks red bull cans packed tightly love watermelon taste definitely give wing wishing made sugar free flavor,awesome taste fantastic company price delivery perfect thanks red bull cans packed tightly love watermelon taste definitely give wing wishing made sugar free flavor,1,0.9786,0.9786,0.9786,,,
371,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-07,2.0,damaged,can bent spout,damaged can bent spout,0,,,,,,
370,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-07,3.0,delivery,box forbes,delivery box forbes,0,,,,,,
496,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-08,5.0,love flavor red bulls,bad pricing either,love flavor red bulls bad pricing either,1,,0.1779,,,,
138,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-03-09,5.0,way sugar free,great taste better health love price much better buying amazon cheaper always recieve can intact far,way sugar free great taste better health love price much better buying amazon cheaper always recieve can intact far,1,0.9633,,0.9633,,,
139,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-03-09,5.0,decent price,tastes like redbull,decent price tastes like redbull,1,0.3612,,0.3612,,,
495,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-09,5.0,good deal,watermelon red bull delicious purchased enjoyed enough energy morning get day,good deal watermelon red bull delicious purchased enjoyed enough energy morning get day,1,,,,,,
369,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-15,5.0,great deal,love red bull expensive store love order amazon get delivered next day day amazing deal,great deal love red bull expensive store love order amazon get delivered next day day amazing deal,1,,,,,,
494,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-19,5.0,fast cheap,got fat cheaper store,fast cheap got fat cheaper store,1,,,,,,
492,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-20,1.0,disappointing order,love energy favorite flavor red bull happy little bit discount made order can fl oz unfortunately get day shipping amazon prime guarantee instead order delivered week late can damaged ordered sam club deal,disappointing order love energy favorite flavor red bull happy little bit discount made order can fl oz unfortunately get day shipping amazon prime guarantee instead order delivered week late can damaged ordered sam club deal,0,,0.802,,,,
493,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-20,5.0,love love love,fav red bull flavor love disappointed arrived came overly large box two brown piece packing paper squished around case red bulls yeah provided cushioning support keep damaged several can dented pretty bad red bull case plastic wrap ripped box aside great flavor great taste,love love love fav red bull flavor love disappointed arrived came overly large box two brown piece packing paper squished around case red bulls yeah provided cushioning support keep damaged several can dented pretty bad red bull case plastic wrap ripped box aside great flavor great taste,1,0.981,0.981,,,,
368,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-21,3.0,package wet can damaged,package wet can damaged,package wet can damaged package wet can damaged,0,,,,-0.7003,,
137,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-03-23,5.0,new favorite red bull,great flavor super refreshing,new favorite red bull great flavor super refreshing,1,,0.9001,,,,
367,"Amazon.com: Customer reviews: Red Bull Energy Drink, 8.4FL Oz, 12 count (Pack of 1)",2023-03-24,5.0,buen producto,buen producto,buen producto buen producto,1,,,,,,
491,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-03-27,5.0,great item,love flavor worth money,great item love flavor worth money,1,,0.8807,,,,
136,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-04-02,4.0,shipping come,cans shipping box intact can though,shipping come cans shipping box intact can though,1,,,,,,
490,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-04-09,5.0,love taste love red bull,recently tried red bull watermelon flavor say delicious taste refreshing sweet subtle hint watermelon overpower energy drink flavor usually drink red bull energy boost flavor definitely gave kick different taste original overall highly recommend trying red bull watermelon looking tasty effective energy drink option,love taste love red bull recently tried red bull watermelon flavor say delicious taste refreshing sweet subtle hint watermelon overpower energy drink flavor usually drink red bull energy boost flavor definitely gave kick different taste original overall highly recommend trying red bull watermelon looking tasty effective energy drink option,1,0.9861,0.9861,,,,
489,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-04-09,5.0,great tasking,one better flavor red bull price amazon beating price local budget store fifty cent,great tasking one better flavor red bull price amazon beating price local budget store fifty cent,1,,0.6908,0.6908,,,
488,"Amazon.com: Customer reviews: Red Bull Red Edition Watermelon Energy Drink, 8.4 Fl Oz, 24 Cans",2023-04-10,5.0,buying bulk retail,duh,buying bulk retail duh,1,,,,,,
134,"Amazon.com: Customer reviews: Red Bull Energy Drink, Sugar Free, 8.4 Fl Oz (4 Pack)",2023-04-11,5.0,sugar free redbull,great taste way le sugar,sugar free redbull great taste way le sugar,1,0.8126,,,,,
